Customer_ID,Customer_Name,Region_ID
CUST-00001,Customer 1,14
CUST-00002,Customer 2,5
CUST-00003,Customer 3,14
CUST-00004,Customer 4,13
CUST-00005,Customer 5,13
CUST-00006,Customer 6,18
CUST-00007,Customer 7,12
CUST-00008,Customer 8,18
CUST-00009,Customer 9,5
CUST-00010,Customer 10,8
CUST-00011,Customer 11,1
CUST-00012,Customer 12,15
CUST-00013,Customer 13,18
CUST-00014,Customer 14,13
CUST-00015,Customer 15,8
CUST-00016,Customer 16,5
CUST-00017,Customer 17,4
CUST-00018,Customer 18,14
CUST-00019,Customer 19,1
CUST-00020,Customer 20,3
CUST-00021,Customer 21,2
CUST-00022,Customer 22,2
CUST-00023,Customer 23,2
CUST-00024,Customer 24,8
CUST-00025,Customer 25,2
CUST-00026,Customer 26,10
CUST-00027,Customer 27,19
CUST-00028,Customer 28,20
CUST-00029,Customer 29,11
CUST-00030,Customer 30,5
CUST-00031,Customer 31,17
CUST-00032,Customer 32,10
CUST-00033,Customer 33,18
CUST-00034,Customer 34,6
CUST-00035,Customer 35,14
CUST-00036,Customer 36,2
CUST-00037,Customer 37,13
CUST-00038,Customer 38,11
CUST-00039,Customer 39,14
CUST-00040,Customer 40,13
CUST-00041,Customer 41,18
CUST-00042,Customer 42,8
CUST-00043,Customer 43,5
CUST-00044,Customer 44,2
CUST-00045,Customer 45,14
CUST-00046,Customer 46,5
CUST-00047,Customer 47,9
CUST-00048,Customer 48,3
CUST-00049,Customer 49,12
CUST-00050,Customer 50,7
CUST-00051,Customer 51,13
CUST-00052,Customer 52,20
CUST-00053,Customer 53,3
CUST-00054,Customer 54,19
CUST-00055,Customer 55,18
CUST-00056,Customer 56,7
CUST-00057,Customer 57,11
CUST-00058,Customer 58,1
CUST-00059,Customer 59,7
CUST-00060,Customer 60,4
CUST-00061,Customer 61,16
CUST-00062,Customer 62,20
CUST-00063,Customer 63,13
CUST-00064,Customer 64,18
CUST-00065,Customer 65,10
CUST-00066,Customer 66,18
CUST-00067,Customer 67,10
CUST-00068,Customer 68,17
CUST-00069,Customer 69,15
CUST-00070,Customer 70,16
CUST-00071,Customer 71,11
CUST-00072,Customer 72,12
CUST-00073,Customer 73,2
CUST-00074,Customer 74,8
CUST-00075,Customer 75,1
CUST-00076,Customer 76,19
CUST-00077,Customer 77,14
CUST-00078,Customer 78,7
CUST-00079,Customer 79,13
CUST-00080,Customer 80,8
CUST-00081,Customer 81,11
CUST-00082,Customer 82,16
CUST-00083,Customer 83,16
CUST-00084,Customer 84,12
CUST-00085,Customer 85,18
CUST-00086,Customer 86,18
CUST-00087,Customer 87,2
CUST-00088,Customer 88,3
CUST-00089,Customer 89,2
CUST-00090,Customer 90,14
CUST-00091,Customer 91,8
CUST-00092,Customer 92,5
,Customer 93,17
CUST-00094,Customer 94,2
CUST-00095,Customer 95,20
CUST-00096,Customer 96,16
,Customer 97,18
CUST-00098,Customer 98,1
,Customer 99,9
CUST-00100,Customer 100,10
,Customer 101,14
CUST-00102,Customer 102,6
CUST-00103,Customer 103,4
CUST-00104,Customer 104,8
CUST-00105,Customer 105,17
CUST-00106,Customer 106,12
CUST-00107,Customer 107,13
CUST-00108,Customer 108,13
CUST-00109,Customer 109,8
CUST-00110,Customer 110,8
CUST-00111,Customer 111,3
CUST-00112,Customer 112,2
CUST-00113,Customer 113,13
CUST-00114,Customer 114,16
CUST-00115,Customer 115,1
CUST-00116,Customer 116,3
CUST-00117,Customer 117,14
CUST-00118,Customer 118,11
CUST-00119,Customer 119,4
CUST-00120,Customer 120,2
CUST-00121,Customer 121,19
CUST-00122,Customer 122,2
CUST-00123,Customer 123,9
CUST-00124,Customer 124,19
CUST-00125,Customer 125,6
CUST-00126,Customer 126,11
,Customer 127,7
CUST-00128,Customer 128,13
CUST-00129,Customer 129,10
CUST-00130,Customer 130,8
CUST-00131,Customer 131,13
CUST-00132,Customer 132,18
CUST-00133,Customer 133,5
CUST-00134,Customer 134,3
CUST-00135,Customer 135,12
CUST-00136,Customer 136,14
CUST-00137,Customer 137,3
CUST-00138,Customer 138,20
CUST-00139,Customer 139,13
CUST-00140,Customer 140,11
CUST-00141,Customer 141,9
CUST-00142,Customer 142,15
CUST-00143,Customer 143,12
CUST-00144,Customer 144,13
CUST-00145,Customer 145,19
CUST-00146,Customer 146,3
CUST-00147,Customer 147,10
CUST-00148,Customer 148,3
CUST-00149,Customer 149,5
CUST-00150,Customer 150,5
CUST-00151,Customer 151,11
CUST-00152,Customer 152,3
,Customer 153,10
CUST-00154,Customer 154,9
CUST-00155,Customer 155,3
CUST-00156,Customer 156,15
CUST-00157,Customer 157,17
CUST-00158,Customer 158,1
CUST-00159,Customer 159,18
CUST-00160,Customer 160,20
CUST-00161,Customer 161,13
,Customer 162,14
CUST-00163,Customer 163,3
CUST-00164,Customer 164,18
CUST-00165,Customer 165,8
CUST-00166,Customer 166,6
CUST-00167,Customer 167,6
CUST-00168,Customer 168,10
CUST-00169,Customer 169,5
CUST-00170,Customer 170,14
CUST-00171,Customer 171,10
CUST-00172,Customer 172,3
CUST-00173,Customer 173,8
CUST-00174,Customer 174,16
CUST-00175,Customer 175,7
CUST-00176,Customer 176,5
CUST-00177,Customer 177,13
CUST-00178,Customer 178,20
CUST-00179,Customer 179,11
CUST-00180,Customer 180,14
CUST-00181,Customer 181,20
CUST-00182,Customer 182,11
CUST-00183,Customer 183,7
CUST-00184,Customer 184,6
CUST-00185,Customer 185,11
CUST-00186,Customer 186,16
CUST-00187,Customer 187,8
CUST-00188,Customer 188,9
CUST-00189,Customer 189,13
CUST-00190,Customer 190,19
CUST-00191,Customer 191,18
CUST-00192,Customer 192,18
CUST-00193,Customer 193,15
CUST-00194,Customer 194,7
CUST-00195,Customer 195,10
CUST-00196,Customer 196,3
CUST-00197,Customer 197,14
CUST-00198,Customer 198,5
CUST-00199,Customer 199,8
CUST-00200,Customer 200,5
CUST-00201,Customer 201,13
CUST-00202,Customer 202,20
CUST-00203,Customer 203,13
CUST-00204,Customer 204,14
